Individual,Coverage,Name,IID,Population,Date.mean.in.BP.in.years.before.1950.CE..OxCal.mu.for.a.direct.radiocarbon.date..and.average.of.range.for.a.contextual.date.,Country,Lat.,Long.,Coverage..X.,Study,UDG,Data.source,color
Kolyma1_2X,2X,Kolyma1,Kolyma1,Ancient Siberian,9775,Russia,68.6,159.1,13.5775,sikora_2019,N,Shotgun,#8c3821
Kolyma1_Original,Original,Kolyma1,Kolyma1,Ancient Siberian,9775,Russia,68.6,159.1,13.5775,sikora_2019,N,Shotgun,#8c3821
Kolyma1_ImputedOC,ImputedOC,Kolyma1,Kolyma1,Ancient Siberian,9775,Russia,68.6,159.1,13.5775,sikora_2019,N,Shotgun,#8c3821
Loschbour_0.0625X,0.0625X,Loschbour,Loschbour,European Mesolithic,8025,,49.81,6.4,16.1928,lazaridis_2014,Y,Shotgun,#7e5920ff
Loschbour_0.5X,0.5X,Loschbour,Loschbour,European Mesolithic,8025,,49.81,6.4,16.1928,lazaridis_2014,Y,Shotgun,#7e5920ff
Loschbour_1X,1X,Loschbour,Loschbour,European Mesolithic,8025,,49.81,6.4,16.1928,lazaridis_2014,Y,Shotgun,#7e5920ff
Loschbour_2X,2X,Loschbour,Loschbour,European Mesolithic,8025,,49.81,6.4,16.1928,lazaridis_2014,Y,Shotgun,#7e5920ff
Loschbour_Original,Original,Loschbour,Loschbour,European Mesolithic,8025,,49.81,6.4,16.1928,lazaridis_2014,Y,Shotgun,#7e5920ff
Loschbour_ImputedOC,ImputedOC,Loschbour,Loschbour,European Mesolithic,8025,,49.81,6.4,16.1928,lazaridis_2014,Y,Shotgun,#7e5920ff
Mota_0.0625X,0.0625X,Mota,Mota,African Stone Age,4470,Ethiopia,6.797495,38.20785,11.0346,gallego-llorente_2016A_ethiopian,N,Shotgun,#0c50b7
Mota_0.5X,0.5X,Mota,Mota,African Stone Age,4470,Ethiopia,6.797495,38.20785,11.0346,gallego-llorente_2016A_ethiopian,N,Shotgun,#0c50b7
Mota_1X,1X,Mota,Mota,African Stone Age,4470,Ethiopia,6.797495,38.20785,11.0346,gallego-llorente_2016A_ethiopian,N,Shotgun,#0c50b7
Mota_2X,2X,Mota,Mota,African Stone Age,4470,Ethiopia,6.797495,38.20785,11.0346,gallego-llorente_2016A_ethiopian,N,Shotgun,#0c50b7
Mota_Original,Original,Mota,Mota,African Stone Age,4470,Ethiopia,6.797495,38.20785,11.0346,gallego-llorente_2016A_ethiopian,N,Shotgun,#0c50b7
Mota_ImputedOC,ImputedOC,Mota,Mota,African Stone Age,4470,Ethiopia,6.797495,38.20785,11.0346,gallego-llorente_2016A_ethiopian,N,Shotgun,#0c50b7
NE1_0.0625X,0.0625X,NE1,NE1,European Neolithic,7146,Hungary,47.84646,21.14943,18.2168,gamba_2014,Y,Shotgun,#8d2962ff
NE1_0.5X,0.5X,NE1,NE1,European Neolithic,7146,Hungary,47.84646,21.14943,18.2168,gamba_2014,Y,Shotgun,#8d2962ff
NE1_1X,1X,NE1,NE1,European Neolithic,7146,Hungary,47.84646,21.14943,18.2168,gamba_2014,Y,Shotgun,#8d2962ff
NE1_2X,2X,NE1,NE1,European Neolithic,7146,Hungary,47.84646,21.14943,18.2168,gamba_2014,Y,Shotgun,#8d2962ff
NE1_Original,Original,NE1,NE1,European Neolithic,7146,Hungary,47.84646,21.14943,18.2168,gamba_2014,Y,Shotgun,#8d2962ff
NE1_ImputedOC,ImputedOC,NE1,NE1,European Neolithic,7146,Hungary,47.84646,21.14943,18.2168,gamba_2014,Y,Shotgun,#8d2962ff
PB675_0.0625X,0.0625X,PB675,PB675,European Neolithic,5171,Ireland,52.9855,-9.11145,15.4964,cassidy_2020,Y,Shotgun,#8d2962ff
PB675_0.5X,0.5X,PB675,PB675,European Neolithic,5171,Ireland,52.9855,-9.11145,15.4964,cassidy_2020,Y,Shotgun,#8d2962ff
PB675_1X,1X,PB675,PB675,European Neolithic,5171,Ireland,52.9855,-9.11145,15.4964,cassidy_2020,Y,Shotgun,#8d2962ff
PB675_2X,2X,PB675,PB675,European Neolithic,5171,Ireland,52.9855,-9.11145,15.4964,cassidy_2020,Y,Shotgun,#8d2962ff
PB675_Original,Original,PB675,PB675,European Neolithic,5171,Ireland,52.9855,-9.11145,15.4964,cassidy_2020,Y,Shotgun,#8d2962ff
PB675_ImputedOC,ImputedOC,PB675,PB675,European Neolithic,5171,Ireland,52.9855,-9.11145,15.4964,cassidy_2020,Y,Shotgun,#8d2962ff
SRA62_0.0625X,0.0625X,SRA62,SRA62,European Mesolithic,6001,Ireland,54.29699,-8.33599,12.957,cassidy_2020,Y,Shotgun,#7e5920ff
SRA62_0.5X,0.5X,SRA62,SRA62,European Mesolithic,6001,Ireland,54.29699,-8.33599,12.957,cassidy_2020,Y,Shotgun,#7e5920ff
SRA62_1X,1X,SRA62,SRA62,European Mesolithic,6001,Ireland,54.29699,-8.33599,12.957,cassidy_2020,Y,Shotgun,#7e5920ff
SRA62_2X,2X,SRA62,SRA62,European Mesolithic,6001,Ireland,54.29699,-8.33599,12.957,cassidy_2020,Y,Shotgun,#7e5920ff
