"Individual","Coverage","Category","HET_SENSITIVITY","HET_PPV","HET_SPECIFICITY","HOMVAR_SENSITIVITY","HOMVAR_PPV","HOMVAR_SPECIFICITY","VAR_SENSITIVITY","VAR_PPV","VAR_SPECIFICITY","GENOTYPE_CONCORDANCE","NON_REF_GENOTYPE_CONCORDANCE"
"USR1","0.0625X","Archaic Shared",0.978142,0.904654,NA,0.986678,0.948468,NA,0.982101,0.924394,0.880097,0.520003,0.520003
"USR1","0.0625X","Not Detected As Archaic",0.837649,0.811945,NA,0.920561,0.919978,NA,0.889105,0.874762,0.776349,0.488993,0.488993
"USR1","0.0625X","Archaic Original",0.818157,0.836751,NA,0.885815,0.922685,NA,0.85353,0.877634,0.81973,0.462248,0.462248
"USR1","0.0625X","Archaic New",0.981334,0.915646,NA,0.986368,0.942535,NA,0.983295,0.925833,0.894252,0.471702,0.471702
"USR1","0.5X","Archaic Shared",0.989143,0.919374,NA,0.995336,0.960628,NA,0.992137,0.938884,0.896692,0.53753,0.53753
"USR1","0.5X","Not Detected As Archaic",0.976138,0.887631,NA,0.989462,0.948299,NA,0.984275,0.923676,0.842727,0.547667,0.547667
"USR1","0.5X","Archaic Original",0.700776,0.70224,NA,0.921271,0.946697,NA,0.812216,0.816491,0.777636,0.408232,0.408232
"USR1","0.5X","Archaic New",0.992476,0.909061,NA,0.995718,0.947087,NA,0.993835,0.924613,0.887295,0.496271,0.496271
"USR1","1X","Archaic Shared",0.990066,0.921628,NA,0.995848,0.961675,NA,0.992865,0.940593,0.899126,0.537402,0.537402
"USR1","1X","Not Detected As Archaic",0.98669,0.893261,NA,0.993472,0.950231,NA,0.990836,0.927182,0.847896,0.551706,0.551706
"USR1","1X","Archaic Original",0.705972,0.68608,NA,0.932874,0.945455,NA,0.812804,0.799841,0.772851,0.395407,0.395407
"USR1","1X","Archaic New",0.993963,0.91169,NA,0.995409,0.949341,NA,0.994589,0.927572,0.888914,0.501367,0.501367
"USR1","2X","Archaic Shared",0.990421,0.92181,NA,0.996121,0.962348,NA,0.993177,0.940976,0.899825,0.536388,0.536388
"USR1","2X","Not Detected As Archaic",0.992721,0.898164,NA,0.995857,0.951217,NA,0.994639,0.929826,0.851873,0.554356,0.554356
"USR1","2X","Archaic Original",0.822222,0.87907,NA,0.975962,0.980296,NA,0.896074,0.92823,0.892473,0.516915,0.516915
"USR1","2X","Archaic New",0.995934,0.913529,NA,0.996026,0.951893,NA,0.995975,0.929951,0.890981,0.502595,0.502595
"Ust_Ishim","0.0625X","Archaic Shared",0.978562,0.912149,NA,0.982706,0.949487,NA,0.979996,0.924675,0.899231,0.665516,0.665516
"Ust_Ishim","0.0625X","Not Detected As Archaic",0.824894,0.833135,NA,0.912799,0.910702,NA,0.87144,0.87271,0.806208,0.599138,0.599138
"Ust_Ishim","0.0625X","Archaic Original",0.723345,0.819407,NA,0.842317,0.885544,NA,0.770325,0.844044,0.827343,0.502778,0.502778
"Ust_Ishim","0.0625X","Archaic New",0.975452,0.905083,NA,0.985573,0.968326,NA,0.979115,0.926899,0.900987,0.632321,0.632321
"Ust_Ishim","0.5X","Archaic Shared",0.976839,0.90841,NA,0.979214,0.957403,NA,0.97769,0.925189,0.898873,0.654038,0.654038
"Ust_Ishim","0.5X","Not Detected As Archaic",0.974097,0.890474,NA,0.984474,0.952028,NA,0.979432,0.920992,0.865611,0.686512,0.686512
"Ust_Ishim","0.5X","Archaic Original",0.828111,0.818335,NA,0.922284,0.931016,NA,0.863458,0.85801,0.836671,0.553876,0.553876
"Ust_Ishim","0.5X","Archaic New",0.991567,0.905702,NA,0.986208,0.961336,NA,0.989653,0.924538,0.897683,0.647604,0.647604
"Ust_Ishim","1X","Archaic Shared",0.981245,0.910105,NA,0.981056,0.959005,NA,0.981177,0.926824,0.900652,0.655193,0.655193
"Ust_Ishim","1X","Not Detected As Archaic",0.985553,0.895167,NA,0.990235,0.955423,NA,0.987955,0.924997,0.871143,0.69334,0.69334
"Ust_Ishim","1X","Archaic Original",0.852053,0.830705,NA,0.924276,0.948669,NA,0.878859,0.870772,0.848877,0.562656,0.562656
"Ust_Ishim","1X","Archaic New",0.992599,0.905017,NA,0.988612,0.952727,NA,0.991134,0.921801,0.892431,0.649387,0.649387
"Ust_Ishim","2X","Archaic Shared",0.984632,0.912144,NA,0.984333,0.961767,NA,0.984524,0.92919,0.903202,0.657099,0.657099
"Ust_Ishim","2X","Not Detected As Archaic",0.991822,0.900295,NA,0.993495,0.957483,NA,0.99268,0.928631,0.876222,0.698081,0.698081
"Ust_Ishim","2X","Archaic Original",0.871463,0.84909,NA,0.93617,0.951584,NA,0.892487,0.879842,0.864208,0.568834,0.568834
"Ust_Ishim","2X","Archaic New",0.993116,0.899699,NA,0.988153,0.949544,NA,0.991281,0.917289,0.886687,0.643021,0.643021
"WC1","0.0625X","Archaic Shared",0.96134,0.872934,NA,0.974907,0.917557,NA,0.966076,0.887956,0.85838,0.350342,0.350342
"WC1","0.0625X","Not Detected As Archaic",0.803254,0.753466,NA,0.885639,0.870678,NA,0.847882,0.811055,0.740708,0.290453,0.290453
"WC1","0.0625X","Archaic Original",0.724894,0.766941,NA,0.85632,0.880525,NA,0.78239,0.812225,0.788166,0.308761,0.308761
"WC1","0.0625X","Archaic New",0.976336,0.855404,NA,0.984953,0.866062,NA,0.97945,0.859214,0.822212,0.270428,0.270428
"WC1","0.5X","Archaic Shared",0.983673,0.896111,NA,0.983545,0.937854,NA,0.983624,0.911456,0.877805,0.369222,0.369222
"WC1","0.5X","Not Detected As Archaic",0.962037,0.853927,NA,0.978661,0.916388,NA,0.97073,0.885312,0.814686,0.338037,0.338037
"WC1","0.5X","Archaic Original",0.573227,0.692029,NA,0.82735,0.886022,NA,0.67512,0.761794,0.781405,0.284913,0.284913
"WC1","0.5X","Archaic New",0.985624,0.86331,NA,0.991025,0.890112,NA,0.987632,0.873057,0.834773,0.289257,0.289257
"WC1","1X","Archaic Shared",0.979697,0.895275,NA,0.98737,0.939549,NA,0.982656,0.911765,0.877934,0.37042,0.37042
"WC1","1X","Not Detected As Archaic",0.978591,0.865796,NA,0.987789,0.919843,NA,0.983389,0.893072,0.823521,0.342344,0.342344
"WC1","1X","Archaic Original",0.609576,0.763374,NA,0.793358,0.888325,NA,0.670762,0.799414,0.824584,0.296894,0.296894
"WC1","1X","Archaic New",0.991089,0.872049,NA,0.99102,0.899985,NA,0.991063,0.882197,0.844303,0.29705,0.29705
"WC1","2X","Archaic Shared",0.974843,0.896722,NA,0.988839,0.938909,NA,0.980148,0.912306,0.879713,0.371353,0.371353
"WC1","2X","Not Detected As Archaic",0.989463,0.872614,NA,0.992723,0.922746,NA,0.991163,0.897954,0.829281,0.344401,0.344401
"WC1","2X","Archaic Original",0.647059,0.78,NA,0.831169,0.962963,NA,0.726257,0.844156,0.836735,0.316076,0.316076
"WC1","2X","Archaic New",0.993272,0.873297,NA,0.993948,0.905166,NA,0.99353,0.885163,0.845682,0.303838,0.303838
"Yamnaya","0.0625X","Archaic Shared",0.983456,0.925821,NA,0.987667,0.955972,NA,0.985016,0.936691,0.910647,0.631945,0.631945
"Yamnaya","0.0625X","Not Detected As Archaic",0.833934,0.833508,NA,0.921352,0.91412,NA,0.880987,0.875312,0.805919,0.582207,0.582207
"Yamnaya","0.0625X","Archaic Original",0.826182,0.867008,NA,0.907856,0.909551,NA,0.860389,0.884582,0.849991,0.547041,0.547041
"Yamnaya","0.0625X","Archaic New",0.995428,0.92153,NA,0.992196,0.959535,NA,0.994326,0.934044,0.910508,0.635144,0.635144
"Yamnaya","0.5X","Archaic Shared",0.993467,0.933298,NA,0.994467,0.959518,NA,0.993846,0.943034,0.91715,0.636583,0.636583
"Yamnaya","0.5X","Not Detected As Archaic",0.97781,0.904522,NA,0.990791,0.95263,NA,0.984619,0.929162,0.874433,0.663627,0.663627
"Yamnaya","0.5X","Archaic Original",0.934272,0.901633,NA,0.978605,0.952937,NA,0.957263,0.927903,0.875985,0.642337,0.642337
"Yamnaya","0.5X","Archaic New",0.993507,0.92289,NA,0.994638,0.956922,NA,0.993914,0.934833,0.90903,0.630975,0.630975
"Yamnaya","1X","Archaic Shared",0.995303,0.933849,NA,0.995243,0.960315,NA,0.99528,0.943859,0.917317,0.638797,0.638797
"Yamnaya","1X","Not Detected As Archaic",0.987683,0.909349,NA,0.994673,0.954738,NA,0.991347,0.932597,0.879237,0.668673,0.668673
"Yamnaya","1X","Archaic Original",0.937557,0.896127,NA,0.987745,0.945093,NA,0.959055,0.917169,0.878676,0.620832,0.620832
"Yamnaya","1X","Archaic New",0.994653,0.923874,NA,0.996654,0.957833,NA,0.99543,0.936746,0.907807,0.637376,0.637376
"Yamnaya","2X","Archaic Shared",0.997148,0.933804,NA,0.996217,0.961377,NA,0.996789,0.944211,0.917802,0.639335,0.639335
"Yamnaya","2X","Not Detected As Archaic",0.992929,0.911573,NA,0.996655,0.956018,NA,0.994883,0.934343,0.881672,0.671147,0.671147
"Yamnaya","2X","Archaic Original",0.945896,0.90493,NA,0.980119,0.956693,NA,0.962464,0.929368,0.88537,0.64977,0.64977
"Yamnaya","2X","Archaic New",0.996768,0.921129,NA,0.997172,0.957795,NA,0.996926,0.935157,0.90507,0.636582,0.636582
"Yana1","0.0625X","Archaic Shared",0.982411,0.918592,NA,0.982233,0.95994,NA,0.982347,0.932677,0.907979,0.572955,0.572955
"Yana1","0.0625X","Not Detected As Archaic",0.809127,0.776914,NA,0.883042,0.911651,NA,0.852969,0.84754,0.762538,0.52156,0.52156
"Yana1","0.0625X","Archaic Original",0.743802,0.816959,NA,0.830084,0.917902,NA,0.784962,0.857672,0.823126,0.46941,0.46941
"Yana1","0.0625X","Archaic New",0.976974,0.874368,NA,0.99297,0.952981,NA,0.982547,0.900646,0.872064,0.563849,0.563849
"Yana1","0.5X","Archaic Shared",0.982878,0.910495,NA,0.98169,0.962639,NA,0.98238,0.931301,0.897769,0.586923,0.586923
"Yana1","0.5X","Not Detected As Archaic",0.96642,0.863782,NA,0.974256,0.949323,NA,0.970916,0.910094,0.83615,0.611177,0.611177
"Yana1","0.5X","Archaic Original",0.821027,0.809213,NA,0.851149,0.940825,NA,0.83586,0.86107,0.818904,0.483142,0.483142
"Yana1","0.5X","Archaic New",0.987031,0.886412,NA,0.983213,0.958614,NA,0.985538,0.912881,0.879341,0.570865,0.570865
"Yana1","1X","Archaic Shared",0.987244,0.912298,NA,0.984145,0.964324,NA,0.985932,0.933297,0.899529,0.590108,0.590108
"Yana1","1X","Not Detected As Archaic",0.98142,0.874034,NA,0.984461,0.95248,NA,0.98316,0.916791,0.845229,0.620428,0.620428
"Yana1","1X","Archaic Original",0.840881,0.818389,NA,0.898214,0.939885,NA,0.865581,0.86388,0.832232,0.488528,0.488528
"Yana1","1X","Archaic New",0.98912,0.885773,NA,0.988903,0.959976,NA,0.989034,0.91337,0.879161,0.568974,0.568974
"Yana1","2X","Archaic Shared",0.98929,0.910948,NA,0.989691,0.965465,NA,0.98946,0.933009,0.899139,0.590274,0.590274
"Yana1","2X","Not Detected As Archaic",0.989637,0.879976,NA,0.989989,0.954474,NA,0.989839,0.920729,0.85077,0.625302,0.625302
"Yana1","2X","Archaic Original",0.919265,0.860524,NA,0.944444,0.958115,NA,0.92947,0.896232,0.863903,0.528116,0.528116
"Yana1","2X","Archaic New",0.993073,0.895315,NA,0.988876,0.961311,NA,0.991414,0.920001,0.886656,0.575546,0.575546
"atp016","0.0625X","Archaic Shared",0.982162,0.906381,NA,0.984084,0.923474,NA,0.982712,0.911173,0.891137,0.373433,0.373433
"atp016","0.0625X","Not Detected As Archaic",0.822317,0.793081,NA,0.916554,0.885691,NA,0.87163,0.839624,0.770698,0.362364,0.362364
"atp016","0.0625X","Archaic Original",0.823083,0.828328,NA,0.931435,0.888139,NA,0.86655,0.852735,0.820067,0.36495,0.36495
"atp016","0.0625X","Archaic New",0.980769,0.886018,NA,0.980799,0.898472,NA,0.980778,0.889612,0.866827,0.351819,0.351819
"atp016","0.5X","Archaic Shared",0.990482,0.909588,NA,0.994695,0.935934,NA,0.9919,0.918281,0.8919,0.394078,0.394078
"atp016","0.5X","Not Detected As Archaic",0.975076,0.887274,NA,0.988979,0.927902,NA,0.982156,0.907527,0.845924,0.410844,0.410844
"atp016","0.5X","Archaic Original",0.896104,0.908297,NA,0.958042,0.906667,NA,0.919786,0.907652,0.875887,0.445783,0.445783
"atp016","0.5X","Archaic New",0.992155,0.906961,NA,0.995161,0.932217,NA,0.993257,0.916067,0.884444,0.38734,0.38734
"atp016","1X","Archaic Shared",0.994965,0.914403,NA,0.99368,0.937104,NA,0.994531,0.921911,0.895655,0.395692,0.395692
"atp016","1X","Not Detected As Archaic",0.986301,0.895603,NA,0.994288,0.930388,NA,0.990366,0.912987,0.852724,0.41448,0.41448
"atp016","1X","Archaic Original",0.942857,0.873874,NA,1,0.77193,NA,0.959184,0.839286,0.8125,0.400576,0.400576
"atp016","1X","Archaic New",0.993918,0.907033,NA,0.996011,0.931512,NA,0.994686,0.915869,0.884021,0.388092,0.388092
"atp016","2X","Archaic Shared",0.996126,0.913514,NA,0.997396,0.937314,NA,0.996554,0.921388,0.895083,0.39578,0.39578
"atp016","2X","Not Detected As Archaic",0.99295,0.901231,NA,0.996977,0.931744,NA,0.994998,0.916495,0.857268,0.416137,0.416137
"atp016","2X","Archaic Original",1,0.979592,NA,1,0.962963,NA,1,0.973684,0.960784,0.52518,0.52518
"atp016","2X","Archaic New",0.996711,0.91351,NA,0.997174,0.938518,NA,0.99689,0.922993,0.889779,0.393826,0.393826
"sf12","0.0625X","Archaic Shared",0.97628,0.918336,NA,0.988793,0.96086,NA,0.981183,0.934564,0.905632,0.756849,0.756849
"sf12","0.0625X","Not Detected As Archaic",0.834911,0.84269,NA,0.922519,0.919279,NA,0.883352,0.883651,0.811031,0.690581,0.690581
"sf12","0.0625X","Archaic Original",0.811212,0.873094,NA,0.917609,0.913362,NA,0.859901,0.891663,0.848657,0.66453,0.66453
"sf12","0.0625X","Archaic New",0.985285,0.928123,NA,0.973377,0.97008,NA,0.981466,0.940719,0.922047,0.743908,0.743908
"sf12","0.5X","Archaic Shared",0.990257,0.923469,NA,0.993642,0.963338,NA,0.991669,0.939654,0.908209,0.777606,0.777606
"sf12","0.5X","Not Detected As Archaic",0.97366,0.902081,NA,0.98845,0.955799,NA,0.981639,0.930307,0.873321,0.792732,0.792732
"sf12","0.5X","Archaic Original",0.942816,0.924756,NA,0.985829,0.947821,NA,0.964,0.936229,0.891535,0.775397,0.775397
"sf12","0.5X","Archaic New",0.99371,0.922473,NA,0.993846,0.955146,NA,0.993759,0.934023,0.907622,0.767108,0.767108
"sf12","1X","Archaic Shared",0.993581,0.92418,NA,0.99426,0.964188,NA,0.993866,0.940467,0.908939,0.78066,0.78066
"sf12","1X","Not Detected As Archaic",0.985231,0.906637,NA,0.992932,0.957937,NA,0.989384,0.933588,0.877934,0.800315,0.800315
"sf12","1X","Archaic Original",0.957576,0.922082,NA,0.984319,0.958627,NA,0.971531,0.940895,0.893737,0.779856,0.779856
"sf12","1X","Archaic New",0.993893,0.926365,NA,0.995295,0.962048,NA,0.994414,0.939277,0.913362,0.773608,0.773608
"sf12","2X","Archaic Shared",0.995715,0.925663,NA,0.994974,0.965178,NA,0.995403,0.941819,0.910453,0.782654,0.782654
"sf12","2X","Not Detected As Archaic",0.991171,0.910727,NA,0.995019,0.959327,NA,0.993247,0.936289,0.881829,0.805004,0.805004
"sf12","2X","Archaic Original",0.975962,0.921289,NA,0.987789,0.959748,NA,0.982525,0.942202,0.888375,0.795103,0.795103
"sf12","2X","Archaic New",0.995581,0.925353,NA,0.99575,0.962886,NA,0.995645,0.939238,0.912185,0.774404,0.774404
"2H10","ImputedOC","Archaic Shared",0.99973,0.906818,NA,0.995723,0.962485,NA,0.99785,0.931941,0.889336,0.439351,0.439351
"2H11","ImputedOC","Archaic Shared",0.999861,0.94894,NA,0.999076,0.9669,NA,0.999549,0.955995,0.932396,0.628486,0.628486
"BA64","ImputedOC","Archaic Shared",1,0.924675,NA,0.998621,0.926923,NA,0.999534,0.925431,0.898949,0.300996,0.300996
"BOT2016","ImputedOC","Archaic Shared",0.999631,0.932726,NA,0.999278,0.930196,NA,0.999495,0.931751,0.900083,0.454793,0.454793
"JP14","ImputedOC","Archaic Shared",0.999911,0.9585,NA,0.999401,0.971582,NA,0.999694,0.964027,0.941342,0.587309,0.587309
"KK1","ImputedOC","Archaic Shared",1,0.92512,NA,0.999565,0.93109,NA,0.999856,0.92709,0.901837,0.340893,0.340893
"Kolyma1","ImputedOC","Archaic Shared",0.996117,0.93538,NA,0.998861,0.96154,NA,0.997501,0.948404,0.907036,0.47728,0.47728
"Loschbour","ImputedOC","Archaic Shared",0.995781,0.941309,NA,0.999206,0.959294,NA,0.997496,0.950242,0.910279,0.597206,0.597206
"Mota","ImputedOC","Archaic Shared",0.993399,0.896199,NA,0.958175,0.899254,NA,0.982739,0.897059,0.873385,0.377688,0.377688
"NE1","ImputedOC","Archaic Shared",0.999683,0.948363,NA,0.999447,0.961332,NA,0.999591,0.953366,0.929432,0.594455,0.594455
"PB675","ImputedOC","Archaic Shared",0.999784,0.939175,NA,0.999363,0.952779,NA,0.999605,0.944888,0.913212,0.529832,0.529832
"SRA62","ImputedOC","Archaic Shared",0.999847,0.927528,NA,0.998886,0.96473,NA,0.999291,0.948673,0.893605,0.505714,0.505714
"Stuttgart","ImputedOC","Archaic Shared",0.993919,0.934289,NA,0.999291,0.95909,NA,0.995941,0.943495,0.917914,0.492301,0.492301
"USR1","ImputedOC","Archaic Shared",0.997255,0.944549,NA,0.999411,0.963655,NA,0.998295,0.953675,0.918694,0.541594,0.541594
"Ust_Ishim","ImputedOC","Archaic Shared",0.997503,0.96045,NA,0.998704,0.968163,NA,0.997929,0.963171,0.946262,0.677096,0.677096
"WC1","ImputedOC","Archaic Shared",0.988492,0.918637,NA,0.997012,0.945053,NA,0.991706,0.928458,0.898589,0.37185,0.37185
"Yamnaya","ImputedOC","Archaic Shared",0.999876,0.952488,NA,0.998985,0.964626,NA,0.999532,0.957131,0.935053,0.645876,0.645876
"Yana1","ImputedOC","Archaic Shared",0.998002,0.953873,NA,0.999293,0.968836,NA,0.998543,0.960086,0.936185,0.60129,0.60129
"atp016","ImputedOC","Archaic Shared",0.999718,0.92175,NA,0.998517,0.939738,NA,0.999314,0.927715,0.902363,0.397413,0.397413
"sf12","ImputedOC","Archaic Shared",0.9999,0.954097,NA,0.999431,0.967714,NA,0.999701,0.959811,0.935221,0.797806,0.797806
"2H10","ImputedOC","Not Detected As Archaic",0.999334,0.882637,NA,0.997213,0.946927,NA,0.998041,0.920586,0.837195,0.45077,0.45077
"2H11","ImputedOC","Not Detected As Archaic",0.999794,0.936314,NA,0.999529,0.958285,NA,0.999649,0.948231,0.898338,0.658615,0.658615
"BA64","ImputedOC","Not Detected As Archaic",0.99979,0.895572,NA,0.999258,0.914707,NA,0.999516,0.905336,0.837941,0.313736,0.313736
"BOT2016","ImputedOC","Not Detected As Archaic",0.999592,0.92443,NA,0.999472,0.945754,NA,0.999526,0.936059,0.876681,0.50406,0.50406
"JP14","ImputedOC","Not Detected As Archaic",0.999812,0.935169,NA,0.999678,0.953448,NA,0.99974,0.944952,0.894089,0.59738,0.59738
"KK1","ImputedOC","Not Detected As Archaic",0.999683,0.895624,NA,0.999331,0.924638,NA,0.999492,0.911151,0.83948,0.34599,0.34599
"Kolyma1","ImputedOC","Not Detected As Archaic",0.999411,0.915688,NA,0.999366,0.946621,NA,0.999384,0.934297,0.858391,0.491927,0.491927
"Loschbour","ImputedOC","Not Detected As Archaic",0.999525,0.929687,NA,0.999636,0.955751,NA,0.999595,0.945905,0.874723,0.620926,0.620926
"Mota","ImputedOC","Not Detected As Archaic",0.997707,0.892429,NA,0.994119,0.938055,NA,0.995991,0.91352,0.861142,0.354958,0.354958
"NE1","ImputedOC","Not Detected As Archaic",0.999814,0.938181,NA,0.999624,0.953891,NA,0.999716,0.946242,0.900545,0.600714,0.600714
"PB675","ImputedOC","Not Detected As Archaic",0.99979,0.932121,NA,0.999632,0.950552,NA,0.999708,0.941662,0.892079,0.548431,0.548431
"SRA62","ImputedOC","Not Detected As Archaic",0.999612,0.913364,NA,0.999225,0.94788,NA,0.999356,0.935906,0.843922,0.521525,0.521525
"Stuttgart","ImputedOC","Not Detected As Archaic",0.99962,0.925292,NA,0.999557,0.949654,NA,0.999586,0.938111,0.884459,0.527318,0.527318
"USR1","ImputedOC","Not Detected As Archaic",0.999674,0.924261,NA,0.999641,0.952689,NA,0.999654,0.941473,0.870798,0.561538,0.561538
"Ust_Ishim","ImputedOC","Not Detected As Archaic",0.999663,0.944959,NA,0.999691,0.961617,NA,0.999677,0.953415,0.913564,0.715675,0.715675
"WC1","ImputedOC","Not Detected As Archaic",0.999383,0.89597,NA,0.998903,0.928626,NA,0.999133,0.912673,0.848286,0.344288,0.344288
"Yamnaya","ImputedOC","Not Detected As Archaic",0.999817,0.938413,NA,0.999666,0.958979,NA,0.999738,0.949107,0.904123,0.678854,0.678854
"Yana1","ImputedOC","Not Detected As Archaic",0.999525,0.933271,NA,0.999575,0.958135,NA,0.999553,0.947279,0.892258,0.640015,0.640015
"atp016","ImputedOC","Not Detected As Archaic",0.999759,0.914723,NA,0.999502,0.933875,NA,0.999628,0.924371,0.867724,0.417121,0.417121
"sf12","ImputedOC","Not Detected As Archaic",0.999762,0.946315,NA,0.999708,0.963539,NA,0.999733,0.955527,0.912729,0.822687,0.822687
"2H11","ImputedOC","Archaic Original",1,1,NA,1,1,NA,1,1,1,0.714286,0.714286
"KK1","ImputedOC","Archaic Original",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Kolyma1","ImputedOC","Archaic Original",NA,NA,NA,1,1,NA,1,1,NA,0.75,0.75
"Loschbour","ImputedOC","Archaic Original",0.333333,0.5,NA,NA,NA,NA,0.333333,0.5,0.8,0.111111,0.111111
"Mota","ImputedOC","Archaic Original",NA,0.625,NA,0.918033,1,NA,0.918033,0.949153,0.5,0.398437,0.398437
"SRA62","ImputedOC","Archaic Original",NA,NA,NA,1,1,NA,1,1,NA,1,1
"Stuttgart","ImputedOC","Archaic Original",0.833333,1,NA,0.857143,1,NA,0.846154,1,1,0.454545,0.454545
"USR1","ImputedOC","Archaic Original",NA,0.6,NA,0.918919,1,NA,0.918919,0.944444,0.5,0.688889,0.688889
"Ust_Ishim","ImputedOC","Archaic Original",0.909091,1,NA,1,0.928571,NA,0.958333,0.958333,0.916667,0.793103,0.793103
"Yamnaya","ImputedOC","Archaic Original",NA,NA,NA,1,1,NA,1,1,NA,1,1
"Yana1","ImputedOC","Archaic Original",NA,1,NA,0.888889,1,NA,0.888889,1,NA,0.7,0.7
"sf12","ImputedOC","Archaic Original",1,1,NA,NA,NA,NA,1,1,1,1,1
"2H10","ImputedOC","Archaic New",0.999366,0.892311,NA,0.995335,0.953105,NA,0.99735,0.921509,0.868375,0.403733,0.403733
"2H11","ImputedOC","Archaic New",0.999796,0.944921,NA,0.999263,0.959121,NA,0.999564,0.951045,0.920722,0.623577,0.623577
"BA64","ImputedOC","Archaic New",0.999826,0.898028,NA,0.999055,0.917349,NA,0.999527,0.905409,0.867206,0.297251,0.297251
"BOT2016","ImputedOC","Archaic New",0.999746,0.929428,NA,0.999256,0.951056,NA,0.999536,0.93855,0.903913,0.473249,0.473249
"JP14","ImputedOC","Archaic New",0.999796,0.945827,NA,0.999573,0.957798,NA,0.9997,0.950917,0.921316,0.564288,0.564288
"KK1","ImputedOC","Archaic New",0.999932,0.910634,NA,0.99894,0.934692,NA,0.999523,0.92039,0.881838,0.332503,0.332503
"Kolyma1","ImputedOC","Archaic New",0.998932,0.916554,NA,0.999116,0.946715,NA,0.999015,0.929814,0.888723,0.448122,0.448122
"Loschbour","ImputedOC","Archaic New",0.997149,0.933764,NA,0.998965,0.951319,NA,0.998002,0.941933,0.902198,0.543354,0.543354
"Mota","ImputedOC","Archaic New",0.996741,0.902366,NA,0.993644,0.945746,NA,0.995446,0.919882,0.881426,0.35046,0.35046
"NE1","ImputedOC","Archaic New",0.999821,0.94272,NA,0.99941,0.957972,NA,0.999651,0.948966,0.920427,0.572638,0.572638
"PB675","ImputedOC","Archaic New",0.999878,0.937136,NA,0.999531,0.954153,NA,0.999737,0.943963,0.914413,0.516889,0.516889
"SRA62","ImputedOC","Archaic New",0.999673,0.923657,NA,0.998522,0.951846,NA,0.999117,0.937019,0.892964,0.465959,0.465959
"Stuttgart","ImputedOC","Archaic New",0.997684,0.929728,NA,0.998716,0.954647,NA,0.998114,0.939948,0.907712,0.488696,0.488696
"USR1","ImputedOC","Archaic New",0.998894,0.932075,NA,0.999359,0.953869,NA,0.999105,0.941823,0.904818,0.507599,0.507599
"Ust_Ishim","ImputedOC","Archaic New",0.99601,0.943114,NA,0.997603,0.95374,NA,0.996607,0.947068,0.922441,0.647425,0.647425
"WC1","ImputedOC","Archaic New",0.997465,0.888982,NA,0.997592,0.919497,NA,0.997517,0.901123,0.859035,0.316092,0.316092
"Yamnaya","ImputedOC","Archaic New",0.999914,0.943598,NA,0.99936,0.96207,NA,0.999684,0.951167,0.92357,0.646284,0.646284
"Yana1","ImputedOC","Archaic New",0.998191,0.935028,NA,0.998584,0.961723,NA,0.998349,0.945538,0.917638,0.578632,0.578632
"atp016","ImputedOC","Archaic New",0.99977,0.92431,NA,0.999225,0.941314,NA,0.99955,0.931091,0.897144,0.398604,0.398604
"sf12","ImputedOC","Archaic New",0.99982,0.952646,NA,0.999477,0.962732,NA,0.99968,0.956731,0.932195,0.791976,0.791976
