Coverage,Sample,SouthAsia,WestEurasia,EastAsia,SouthAsia_WestEurasia,EastAsia_SouthAsia,EastAsia_WestEurasia,EastAsia_SouthAsia_WestEurasia,NotFound
05X,Ust_Ishim,3.5,19.4,9.7,8.8,7.1,6.2,20.3,24.9
05X,Yana1,4.9,21.7,14.0,11.9,4.2,4.9,19.6,18.8
05X,USR1,2.7,9.6,34.0,6.4,6.9,5.8,15.9,18.7
05X,Kolyma1,2.9,10.3,31.8,4.9,10.3,7.3,14.2,18.2
05X,KK1,5.2,24.5,8.2,20.8,2.2,5.2,13.4,20.4
05X,WC1,4.1,24.9,5.0,16.6,1.7,1.7,20.7,25.4
05X,BOT2016,3.2,17.4,17.9,16.9,5.3,6.3,12.1,21.0
05X,Yamnaya,8.6,27.6,4.3,16.8,2.2,4.3,13.5,22.7
05X,Stuttgart,2.1,27.6,6.2,17.9,2.8,5.5,14.5,23.4
05X,NE1,2.7,35.0,6.1,12.8,2.7,6.7,12.8,21.2
05X,JP14,1.4,30.1,4.3,16.5,0,5.7,17.9,24.0
05X,PB675,4.6,28.5,6.6,15.2,2.0,7.3,10.6,25.1
05X,2H10,1.5,30.5,6.7,14.1,4.5,0,17.8,24.9
05X,2H11,2.9,34.6,4.3,14.4,2.2,5.8,12.3,23.6
05X,atp016,5.4,31.4,8.0,14.7,2.7,4.0,12.7,21.1
05X,BA64,4.0,28.4,7.3,13.9,0,7.9,15.2,23.5
05X,sf12,4.0,27.1,9.3,16.5,2.0,6.6,11.9,22.6
05X,Loschbour,4.3,33.3,8.0,12.3,0.7,5.8,13.7,21.9
05X,SRA62,5.3,32.3,3.0,12.8,2.3,3.8,19.5,21.2
00625X,Ust_Ishim,7.3,20.2,22.0,9.2,7.3,11.0,5.5,17.5
00625X,Yana1,7.3,23.7,14.6,14.6,7.3,5.5,14.6,12.5
00625X,USR1,4.3,8.7,33.6,9.7,6.5,7.6,17.3,12.3
00625X,Kolyma1,2.5,12.3,27.0,3.7,13.5,14.7,12.3,14.2
00625X,KK1,6.6,30.9,8.8,19.9,0,2.2,13.2,18.4
00625X,WC1,5.4,28.9,1.8,12.7,1.8,1.8,25.3,22.2
00625X,BOT2016,3.6,23.3,21.5,16.1,5.4,3.6,14.3,12.3
00625X,Yamnaya,5.9,33.0,4.7,15.3,3.5,4.7,16.5,16.4
00625X,Stuttgart,1.4,32.5,7.1,11.3,1.4,7.1,18.3,21.0
00625X,NE1,7.0,33.4,1.8,17.6,0,10.5,10.5,19.2
00625X,JP14,1.8,35.1,1.8,15.8,0,8.8,22.8,14.0
00625X,PB675,5.5,30.0,6.8,16.4,1.4,8.2,13.6,18.2
00625X,2H10,1.7,37.3,3.4,18.6,0,3.4,15.3,20.4
00625X,2H11,3.1,30.5,3.1,19.8,3.1,10.7,12.2,17.6
00625X,atp016,1.5,29.3,9.2,18.5,3.1,4.6,16.9,16.8
00625X,BA64,1.6,41.2,4.8,14.3,0,4.8,11.1,22.3
00625X,sf12,1.6,37.9,6.6,19.8,1.6,3.3,14.8,14.3
00625X,Loschbour,1.4,39.2,11.2,9.8,0,4.2,16.8,17.3
00625X,SRA62,1.7,43.4,3.3,13.4,3.3,6.7,13.4,14.8
