Coverage,Sample,KHV,JPT,CDX,CHS,CHB,BEB,GIH,ITU,STU,PJL,CEU,GBR,TSI,IBS,FIN
ImputedHC,USR1,0.08115658280518756,0.08525938827815027,0.08117109722306247,0.08567309742541822,0.0848305621644307,0.05889957996012567,0.06056704930606223,0.05867969668401541,0.05846322712093872,0.059369498462047386,0.06074766612991515,0.05731023983737891,0.05746337305069928,0.05540357286868772,0.05500536868388032
ImputedHC,Kolyma1,0.07994618672106889,0.08637097949647074,0.08048791013995922,0.08454536979064681,0.08324794301346353,0.06324723756720955,0.0650703531264659,0.06157849566498959,0.06222502083167509,0.06099606586310764,0.05739807542842236,0.05442077418631716,0.05466854620931105,0.05279107481825243,0.053005967142640074
ImputedHC,KK1,0.05516577734463091,0.052819546872224336,0.0547885985285441,0.05555888198330104,0.0565160670076341,0.0680999965248298,0.06521241904854937,0.07117992403389774,0.06732791177457109,0.07159207877499724,0.07412609994038838,0.07561141394215233,0.07721577856283245,0.07849677595633214,0.07628872970511502
ImputedHC,Loschbour,0.05285061782884725,0.0531511388675608,0.05304922987648535,0.051876771595919746,0.05278003492144225,0.056992463892963745,0.056186293028366745,0.06191652357947042,0.057203983250263726,0.0619609702244035,0.09046746408075024,0.09106359579800082,0.09015419147542093,0.08278887841708996,0.0875578431630146
ImputedHC,sf12,0.05332936174890341,0.05444972079480584,0.052746855296770846,0.054162598040751304,0.0531423508351649,0.061206620569337705,0.06112321262209068,0.06590576226386827,0.06021803571583744,0.06651473580589422,0.08322591059697167,0.08691254509855072,0.08726820673866667,0.07855850102157401,0.08123558285081227
ImputedHC,SRA62,0.051116278095005706,0.05136417916048142,0.05174099120986467,0.051456334922596825,0.05136064471149039,0.05747843878240065,0.05865150611699366,0.06217788085565813,0.05825048068864181,0.06195924218509846,0.0911762881970117,0.0919684895537708,0.08922248120441037,0.08446661619337582,0.08761014812319966
ImputedHC,2H10,0.051856974843324834,0.05270613464648756,0.052178068342287665,0.05329970536095914,0.05270259006993085,0.060244626503687976,0.060152705171846996,0.06272073295915302,0.05950709347061996,0.06525011595010115,0.08278039749616783,0.0850770431565103,0.08614537068368752,0.08796033025838697,0.08741811108684813
ImputedHC,2H11,0.049522782069013845,0.049842338308722194,0.04906925475402148,0.04924466967157514,0.05017137347969118,0.060555000266063336,0.05853704497156439,0.0639429394635314,0.05929589365358288,0.06262285003859537,0.08733234559921318,0.09154220233671792,0.09071204814861852,0.08705522948697915,0.0905540277521101
ImputedHC,atp016,0.04685941273353272,0.04784631384485789,0.04902359473765782,0.04919241538083181,0.04915144667557504,0.062047840323674885,0.05948720916864632,0.06591856956047151,0.062296770781140126,0.06701251783516404,0.08373103778661496,0.08834794818427058,0.08771346955754654,0.09051191531171518,0.09085953811830048
ImputedHC,BA64,0.05328766065517445,0.05297435099134735,0.0515091974050581,0.05368496390997582,0.05319440605964156,0.05860228778429051,0.05685025184442958,0.06292628912182732,0.05785236469942666,0.06287912339996429,0.08360492492681791,0.08814876456431063,0.08504710372785289,0.0885715726868982,0.09086673822298487
ImputedHC,JP14,0.05230907427761614,0.053724596312457754,0.05227405863168263,0.052946306694581204,0.05254206993696013,0.060816534894292416,0.05804388442443152,0.06257452283332735,0.05925443121877918,0.0643377770391268,0.0838034174840005,0.0867499087262838,0.08558397385521736,0.08777724680337187,0.08726219686787146
ImputedHC,NE1,0.05028597054830782,0.0511810952532799,0.04887934766108344,0.051569739050245846,0.050795528989699607,0.06056405501597408,0.05885571361216425,0.06538135165371389,0.06072111574353568,0.06523310506858511,0.0800638715403362,0.08762986452946407,0.08697590283352435,0.09285139114660008,0.08901194735348571
ImputedHC,PB675,0.04952306645681136,0.05120836497006387,0.04932678527729962,0.050109775793263776,0.04989657095976502,0.05981626609775041,0.05751936585786538,0.062160919152697724,0.05961082678367134,0.06514802242057617,0.08377887209280505,0.08921851082298955,0.08882730522519766,0.09129012123388987,0.09256522685535308
ImputedHC,Stuttgart,0.0536889852114879,0.052735097170176964,0.05374891714595299,0.05334392752904512,0.05330195705560658,0.05775811001777647,0.05598717120576721,0.061422616915627545,0.058833451419427876,0.06290213558004312,0.08234539582595214,0.0891688232843756,0.08475612040683443,0.09112831779091299,0.08887897344101305
ImputedHC,WC1,0.05617415404794203,0.058409385978629665,0.05533432379690786,0.057272446973602106,0.05873609233703325,0.06717808832430947,0.06681435339692032,0.07063977885463539,0.06667155306814271,0.06976275199539744,0.07526131483826605,0.07481303776894724,0.07308041901467009,0.07627533444813128,0.07357696515646521
ImputedHC,Ust_Ishim,0.0664281619497146,0.06585426040499527,0.06482069846166146,0.06573383111627165,0.06576947649410894,0.06469158040376169,0.06558731198197457,0.06447839912958636,0.06479405956765641,0.06649426088205397,0.0672996428632256,0.06954215729856035,0.07062450595190731,0.07001672162132544,0.06786493187319632
ImputedHC,Yana1,0.06948414654025804,0.06827455916652533,0.07022629523458333,0.06792557902011519,0.06892666052381616,0.06068843640921993,0.062070859953217185,0.06304201233850519,0.061160949410563256,0.06278174641253995,0.07265870341491434,0.07082113848686244,0.06997564495990623,0.06558690192703306,0.06637636620194028
ImputedHC,BOT2016,0.06573240346019278,0.06788507411507495,0.06455211779283494,0.06715758852613775,0.06662099379603453,0.0627009770172609,0.06162017023978774,0.06358228976068453,0.062152153245075864,0.06473343362187756,0.07434269114206668,0.07272210878082982,0.07298287243946382,0.06653781332649558,0.06667731273618252
ImputedHC,Yamnaya,0.057122536697652534,0.05670456730009355,0.05570324682891439,0.05643764837962302,0.05620780924399345,0.06523742970618182,0.06450619342574097,0.06718699350462883,0.06461824816586148,0.06899447228359669,0.07907341978609636,0.07930263793598064,0.07841429162276116,0.07572259161149705,0.07476791350737795
2X,USR1,0.08284707004193523,0.08774008156624233,0.0835000378944921,0.08769577559319365,0.08677358839170037,0.05816982176107631,0.060433792999706824,0.05826237797357865,0.05901462210550562,0.05765792367932528,0.059580411091702305,0.0553074333735729,0.056307403707549386,0.05346293745898255,0.053246722361436585
2X,Kolyma1,0.08142776790428759,0.08805873299558768,0.08221825644969713,0.08678171537406791,0.0851194265741533,0.06258424296014667,0.06409043858385438,0.06064758595450837,0.06065531436150858,0.06131099040422851,0.056619081723429596,0.05371229575860689,0.05368235748351315,0.05153240105753673,0.05155939241487357
